"","id","display_name","artists","artists_IDs","yr","danceability","energy","key","loudness","liveness","tempo","uri","url"
"1.48","3l08otAukmYCQtAStZXHOE","Gente Distinta","Celtas Cortos","3hIPQBm8PBt8B5aahP6cVP","1999",0.567,0.955,0,-3.621,0.322,99.943,"spotify:track:3l08otAukmYCQtAStZXHOE","https://open.spotify.com/track/3l08otAukmYCQtAStZXHOE"
"1.49","3pfGTMNDUJwj4cBN6op9m6","No Hay 2 Sin 3 (Gol)","Cali Y El Dandee","5DUlefCLzVRzNWaNURTFpK","2012",0.642,0.893,0,-4.219,0.689,126.077,"spotify:track:3pfGTMNDUJwj4cBN6op9m6","https://open.spotify.com/track/3pfGTMNDUJwj4cBN6op9m6"
"1.50","3Th2of8xIYyImVLXUbzaTp","Tenia Tanto Que Darte","Nena Daconte","58ZTr51uERVdMQbfDbc5B3","2008",0.646,0.582,1,-3.81,0.402,124.963,"spotify:track:3Th2of8xIYyImVLXUbzaTp","https://open.spotify.com/track/3Th2of8xIYyImVLXUbzaTp"
"1.51","3UI9I3e1g1y5T3SMfdgfGO","Colgando en tus manos (con Marta Sánchez)","Carlos Baute","3smfreCkyJt7bShaTYpG77","2009",0.836,0.637,6,-4.803,0.129,120.025,"spotify:track:3UI9I3e1g1y5T3SMfdgfGO","https://open.spotify.com/track/3UI9I3e1g1y5T3SMfdgfGO"
"1.52","3v1dCP3hk2djfWryqfp7sx","Caminando por la vida","Melendi","1EXjXQpDx2pROygh8zvHs4","2005",0.695,0.958,5,-3.778,0.154,108.054,"spotify:track:3v1dCP3hk2djfWryqfp7sx","https://open.spotify.com/track/3v1dCP3hk2djfWryqfp7sx"
"1.53","3vG1wHj1xmFw9M7EdXZ6va","Desnudate","Miguel Gallardo","5imd6MnP4WpDohSwFnO38T","1977",0.287,0.379,4,-10.774,0.159,135.2,"spotify:track:3vG1wHj1xmFw9M7EdXZ6va","https://open.spotify.com/track/3vG1wHj1xmFw9M7EdXZ6va"
"1.54","3Zkbu2alohromXEqFDSYXm","Quiero morir en tu veneno","Alejandro Sanz","5sUrlPAHlS9NEirDB8SEbF","1996",0.511,0.611,0,-6.544,0.112,148.024,"spotify:track:3Zkbu2alohromXEqFDSYXm","https://open.spotify.com/track/3Zkbu2alohromXEqFDSYXm"
"1.55","44XnWHWCDKTXGomorkIqdT","Manda Christmas","Los Diablos","1iTBMIseDKB2IoKlmlGvyp","1971",0.35,0.476,7,-10.448,0.284,79.938,"spotify:track:44XnWHWCDKTXGomorkIqdT","https://open.spotify.com/track/44XnWHWCDKTXGomorkIqdT"
"1.56","46s0XjMwCmW6RzxDHyat8h","Wait Here","Deviot","0RuQEq977rRMhQK18aUbn5","1999",0.536,0.924,2,-6.711,0.169,126.964,"spotify:track:46s0XjMwCmW6RzxDHyat8h","https://open.spotify.com/track/46s0XjMwCmW6RzxDHyat8h"
"1.57","4b0nenyFuMI1R48IoZBhTe","Eres Tonto","El Canto Del Loco","5RK6c1tyaKpwcDpbgCGNgj","2008",0.412,0.902,5,-3.269,0.091,189.146,"spotify:track:4b0nenyFuMI1R48IoZBhTe","https://open.spotify.com/track/4b0nenyFuMI1R48IoZBhTe"
"1.58","4B4zDmbHdkXZ1wUJv1yKFy","Wiggle (feat. Snoop Dogg)","Jason Derulo","07YZf4WDAMNwqr4jfgOZ8y","2014",0.697,0.621,9,-6.886,0.162,81.946,"spotify:track:4B4zDmbHdkXZ1wUJv1yKFy","https://open.spotify.com/track/4B4zDmbHdkXZ1wUJv1yKFy"
"1.59","4CPMhMBnjOtud01gXrDqNE","Tu sigue asi","OBK","00iiLCQzrQfdDg27gus6Ny","2000",0.618,0.774,8,-7.188,0.654,124.981,"spotify:track:4CPMhMBnjOtud01gXrDqNE","https://open.spotify.com/track/4CPMhMBnjOtud01gXrDqNE"
"1.60","4cYixasStbsXGnhyKxHEFN","Out Of Control - Remastered","The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","1998",0.742,0.561,9,-7.834,0.575,122.214,"spotify:track:4cYixasStbsXGnhyKxHEFN","https://open.spotify.com/track/4cYixasStbsXGnhyKxHEFN"
"1.61","4d6eqRtpDX7tydHJGDZUBQ","She Drives Me Crazy","Fine Young Cannibals","20p5D2KrE8CGuOjHtxsyTp","1989",0.799,0.687,2,-5.682,0.0307,108.804,"spotify:track:4d6eqRtpDX7tydHJGDZUBQ","https://open.spotify.com/track/4d6eqRtpDX7tydHJGDZUBQ"
"1.62","4mH6UBtgnFdjeBlS8HRIUX","Love Is in Control (Finger on the Trigger)","Donna Summer","2eogQKWWoohI3BSnoG7E2U","1982",0.834,0.705,7,-7.366,0.113,132.263,"spotify:track:4mH6UBtgnFdjeBlS8HRIUX","https://open.spotify.com/track/4mH6UBtgnFdjeBlS8HRIUX"
"1.63","4NWpfDWcLOKAPUjNoqFIc1","No Me Puedes Dejar Asi","Luis Miguel","2nszmSgqreHSdJA3zWPyrW","1984",0.542,0.716,3,-5.248,0.1,137.748,"spotify:track:4NWpfDWcLOKAPUjNoqFIc1","https://open.spotify.com/track/4NWpfDWcLOKAPUjNoqFIc1"
"1.64","4PWSTLp0f8uTtmdtIw8uPm","El Viaje","Antonio Orozco","1ADdpen72RPuafRcv0YRBf","2003",0.554,0.882,1,-4.572,0.231,97.05,"spotify:track:4PWSTLp0f8uTtmdtIw8uPm","https://open.spotify.com/track/4PWSTLp0f8uTtmdtIw8uPm"
"1.65","4qe5dXxbYmck7SqC1WdKhX","Cantares - Remasterizado","Joan Manuel Serrat","1t7t8q4zoYHp22JLIx3FM7","1972",0.326,0.835,7,-4.217,0.905,132.296,"spotify:track:4qe5dXxbYmck7SqC1WdKhX","https://open.spotify.com/track/4qe5dXxbYmck7SqC1WdKhX"
"1.66","4uXrskt0y99dMn8oEujgIC","La ladrona","Paolo Salvatore","4M9g2hG8e19pf25E80lM2w","1982",0.627,0.78,5,-7.252,0.0437,90.334,"spotify:track:4uXrskt0y99dMn8oEujgIC","https://open.spotify.com/track/4uXrskt0y99dMn8oEujgIC"
"1.67","4WpmwEdc4RBos8W8icSSxW","Moonlight Shadow","Mike Oldfield","562Od3CffWedyz2BbeYWVn","1983",0.611,0.72,4,-8.359,0.356,128.594,"spotify:track:4WpmwEdc4RBos8W8icSSxW","https://open.spotify.com/track/4WpmwEdc4RBos8W8icSSxW"
"1.68","4wzMQBLGXFoZkbEwNP2QJu","El Ritmo Del Mar","Celtas Cortos","3hIPQBm8PBt8B5aahP6cVP","1992",0.548,0.925,2,-3.921,0.227,123.97,"spotify:track:4wzMQBLGXFoZkbEwNP2QJu","https://open.spotify.com/track/4wzMQBLGXFoZkbEwNP2QJu"
"1.69","4YMqbFcDIFiCBd02PzUBcM","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis","5BcAKTbp20cv7tC5VqPFoC","2013",0.781,0.526,6,-6.985,0.0457,94.992,"spotify:track:4YMqbFcDIFiCBd02PzUBcM","https://open.spotify.com/track/4YMqbFcDIFiCBd02PzUBcM"
"1.70","4zMJYmYSTZBNn1YdZVznSS","Sabor, Sabor","Rosario","05xSLrRgGwm2nCH2SmnNMW","1993",0.783,0.591,6,-13.053,0.0654,135.739,"spotify:track:4zMJYmYSTZBNn1YdZVznSS","https://open.spotify.com/track/4zMJYmYSTZBNn1YdZVznSS"
"1.71","53PlbcGzLTx65vjaS6tG0N","Atlantis Is Calling (S.O.S. for Love)","Modern Talking","79bxUQsBIXO8nVLB9fYKf7","1986",0.707,0.64,3,-11.674,0.0624,113.448,"spotify:track:53PlbcGzLTx65vjaS6tG0N","https://open.spotify.com/track/53PlbcGzLTx65vjaS6tG0N"
"1.72","55gmQUKsapiYVmiz4NyC0J","Winchester Cathedral","New Vaudeville Band","4UD9XOagGdElo7BpVzLltZ","1967",0.846,0.414,7,-11.866,0.245,122.54,"spotify:track:55gmQUKsapiYVmiz4NyC0J","https://open.spotify.com/track/55gmQUKsapiYVmiz4NyC0J"
"1.73","5NaOWLOmVjcA3M5spRATN9","Honey","Mariah Carey","4iHNK0tOyZPYnBU7nGAgpQ","1997",0.694,0.823,1,-6.755,0.152,95.83,"spotify:track:5NaOWLOmVjcA3M5spRATN9","https://open.spotify.com/track/5NaOWLOmVjcA3M5spRATN9"
"1.74","5OKrgU6UuGMp4sGRxv1JH2","Dígale","David Bisbal","5gOJTI4TusSENizxhcG7jB","2002",0.57,0.474,2,-6.809,0.143,130.103,"spotify:track:5OKrgU6UuGMp4sGRxv1JH2","https://open.spotify.com/track/5OKrgU6UuGMp4sGRxv1JH2"
"1.75","5rv6SY8fTA7h1sSIcKv33C","Calle la Pantomima","Melendi","1EXjXQpDx2pROygh8zvHs4","2007",0.465,0.869,11,-5.9,0.136,158.217,"spotify:track:5rv6SY8fTA7h1sSIcKv33C","https://open.spotify.com/track/5rv6SY8fTA7h1sSIcKv33C"
"1.76","5UmDpzngy9Km4ennDma7jq","That's What I Like","Jive Bunny and the Mastermixers","4GzIiGnHYrOnq2LUiD6zdo","1989",0.695,0.941,10,-5.534,0.116,165.006,"spotify:track:5UmDpzngy9Km4ennDma7jq","https://open.spotify.com/track/5UmDpzngy9Km4ennDma7jq"
"1.77","5XxcwLvZXDLGbwBK4G0ovH","Ella","Bebe","2byU53ebtTxcAnIRE814Ts","2004",0.843,0.797,9,-6.746,0.0465,118.006,"spotify:track:5XxcwLvZXDLGbwBK4G0ovH","https://open.spotify.com/track/5XxcwLvZXDLGbwBK4G0ovH"
"1.78","6295Cr4SGdjJgnJ6DLtZFn","Gimme Hope Jo'anna","Eddy Grant","6j2HWcd7z61iTLbi8eD0hA","1988",0.896,0.704,10,-12.148,0.0884,128.685,"spotify:track:6295Cr4SGdjJgnJ6DLtZFn","https://open.spotify.com/track/6295Cr4SGdjJgnJ6DLtZFn"
"1.79","6aBDDcBeVkJCu3PU5q4Lor","María Isabel","Los Payos","1ONcwA5aZxzgOelWDmQ51X","1969",0.683,0.638,6,-9.57,0.0451,152.799,"spotify:track:6aBDDcBeVkJCu3PU5q4Lor","https://open.spotify.com/track/6aBDDcBeVkJCu3PU5q4Lor"
"1.80","6ATouqjf03zPCRCwE892UN","Take It Back - 2011 Remastered Version","Pink Floyd","0k17h0D3J5VfsdmQ1iZtE9","1994",0.469,0.602,7,-11.156,0.273,112.427,"spotify:track:6ATouqjf03zPCRCwE892UN","https://open.spotify.com/track/6ATouqjf03zPCRCwE892UN"
"1.81","6joHolnIrYYqB1b5Q64Htl","The Grease Megamix (Karaoke Version) [Originally Performed By John Travolta and Olivia Newton-John] [From ""Grease""]","Zoom Karaoke","3Nr8EAmJ6b95ydy2o8h5vd","1991",0.644,0.723,2,-9.567,0.414,124.594,"spotify:track:6joHolnIrYYqB1b5Q64Htl","https://open.spotify.com/track/6joHolnIrYYqB1b5Q64Htl"
"1.82","6kwAbEjseqBob48jCus7Sz","Elastic Heart","Sia","5WUlDfRSoLAfcVSX1WnrxN","2015",0.421,0.791,9,-4.998,0.146,130.075,"spotify:track:6kwAbEjseqBob48jCus7Sz","https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz"
"1.83","6NG2IIXZfC5Notpz0GIODU","Aserejé","Las Ketchup","1e8GEl48ktvfDpruMKB6Oe","2002",0.602,0.947,1,-5.642,0.123,184.976,"spotify:track:6NG2IIXZfC5Notpz0GIODU","https://open.spotify.com/track/6NG2IIXZfC5Notpz0GIODU"
"1.84","6x3QIoNigqF82XJAFxTsya","Manos Al Aire","Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","2009",0.769,0.772,2,-3.77,0.102,124.998,"spotify:track:6x3QIoNigqF82XJAFxTsya","https://open.spotify.com/track/6x3QIoNigqF82XJAFxTsya"
"1.85","6yBbmHFTxihIDFAerzDMGi","Hold On Tight","Electric Light Orchestra","7jefIIksOi1EazgRTfW2Pk","1981",0.439,0.794,7,-11.792,0.434,145.056,"spotify:track:6yBbmHFTxihIDFAerzDMGi","https://open.spotify.com/track/6yBbmHFTxihIDFAerzDMGi"
"1.86","72hcFp4tYkd3dbNA9dZ3Pv","Bad Medicine","Bon Jovi","58lV9VcRSjABbAbfWS6skp","1988",0.555,0.973,9,-3.804,0.0853,118.642,"spotify:track:72hcFp4tYkd3dbNA9dZ3Pv","https://open.spotify.com/track/72hcFp4tYkd3dbNA9dZ3Pv"
"1.87","7agL8UY4VXEj736z477hKE","Desidia","Objetivo Birmania","6d88kdF9N4XWda5sc2yzul","1984",0.838,0.709,0,-8.121,0.0689,131.647,"spotify:track:7agL8UY4VXEj736z477hKE","https://open.spotify.com/track/7agL8UY4VXEj736z477hKE"
"1.88","7cQ7axcCXsa963OluHTWlS","Sin ti no soy nada","Amaral","4OkeTQCk0fvX6VBYpOOxDi","2002",0.686,0.874,9,-3.92,0.129,122.099,"spotify:track:7cQ7axcCXsa963OluHTWlS","https://open.spotify.com/track/7cQ7axcCXsa963OluHTWlS"
